{'it': 1, 'wall': 10.3, 'records': 1081, 'policy_loss': 8.4174, 'value_loss': 0.381, 'ep_len': 108.1, 'fresh_rows': 52683, 'hit_rows': 8564}
{'it': 2, 'wall': 19.5, 'records': 1280, 'policy_loss': 8.1828, 'value_loss': 0.0703, 'ep_len': 160.0, 'fresh_rows': 42626, 'hit_rows': 18764}
{'it': 3, 'wall': 26.7, 'records': 905, 'policy_loss': 7.166, 'value_loss': 0.5482, 'ep_len': 113.1, 'fresh_rows': 33815, 'hit_rows': 21737}
{'it': 4, 'wall': 32.3, 'records': 834, 'policy_loss': 6.4177, 'value_loss': 0.7842, 'ep_len': 104.2, 'fresh_rows': 20975, 'hit_rows': 19529}
{'it': 5, 'wall': 35.9, 'records': 786, 'policy_loss': 5.0594, 'value_loss': 1.0214, 'ep_len': 78.6, 'fresh_rows': 13984, 'hit_rows': 11407}
{'it': 6, 'wall': 43.3, 'records': 856, 'policy_loss': 5.6586, 'value_loss': 1.1933, 'ep_len': 85.6, 'fresh_rows': 27350, 'hit_rows': 22587}
{'it': 7, 'wall': 47.6, 'records': 786, 'policy_loss': 5.4814, 'value_loss': 0.7517, 'ep_len': 98.2, 'fresh_rows': 15979, 'hit_rows': 12215}
{'it': 8, 'wall': 56.8, 'records': 914, 'policy_loss': 5.4657, 'value_loss': 0.5143, 'ep_len': 101.6, 'fresh_rows': 39720, 'hit_rows': 20456}
{'it': 9, 'wall': 63.9, 'records': 800, 'policy_loss': 5.8037, 'value_loss': 0.1118, 'ep_len': 160.0, 'fresh_rows': 33892, 'hit_rows': 11352}
{'it': 10, 'wall': 69.4, 'records': 807, 'policy_loss': 5.674, 'value_loss': 0.0765, 'ep_len': 134.5, 'fresh_rows': 25296, 'hit_rows': 9441}
{'it': 11, 'wall': 74.5, 'records': 798, 'policy_loss': 5.7827, 'value_loss': 0.1429, 'ep_len': 159.6, 'fresh_rows': 25167, 'hit_rows': 8470}
{'it': 12, 'wall': 79.1, 'records': 793, 'policy_loss': 5.4148, 'value_loss': 0.3667, 'ep_len': 132.2, 'fresh_rows': 22201, 'hit_rows': 7175}
{'it': 13, 'wall': 85.5, 'records': 800, 'policy_loss': 5.2612, 'value_loss': 0.1029, 'ep_len': 160.0, 'fresh_rows': 26746, 'hit_rows': 19788}
{'it': 14, 'wall': 88.3, 'records': 790, 'policy_loss': 4.7871, 'value_loss': 0.3441, 'ep_len': 71.8, 'fresh_rows': 12833, 'hit_rows': 4443}
{'it': 15, 'wall': 93.7, 'records': 805, 'policy_loss': 4.736, 'value_loss': 0.0909, 'ep_len': 40.2, 'fresh_rows': 25025, 'hit_rows': 10382}
{'it': 16, 'wall': 102.0, 'records': 851, 'policy_loss': 4.3634, 'value_loss': 0.139, 'ep_len': 70.9, 'fresh_rows': 33794, 'hit_rows': 22716}
{'it': 17, 'wall': 106.0, 'records': 786, 'policy_loss': 4.2693, 'value_loss': 0.042, 'ep_len': 56.1, 'fresh_rows': 18012, 'hit_rows': 6739}
{'it': 18, 'wall': 111.7, 'records': 817, 'policy_loss': 3.9222, 'value_loss': 0.0134, 'ep_len': 32.7, 'fresh_rows': 22014, 'hit_rows': 10709}
{'it': 19, 'wall': 118.3, 'records': 773, 'policy_loss': 4.0922, 'value_loss': 0.0255, 'ep_len': 32.2, 'fresh_rows': 26344, 'hit_rows': 8827}
{'it': 20, 'wall': 125.2, 'records': 790, 'policy_loss': 4.0717, 'value_loss': 0.0057, 'ep_len': 34.3, 'fresh_rows': 29349, 'hit_rows': 9990}
{'it': 21, 'wall': 132.1, 'records': 779, 'policy_loss': 4.266, 'value_loss': 0.0031, 'ep_len': 41.0, 'fresh_rows': 29280, 'hit_rows': 9131}
{'it': 22, 'wall': 138.4, 'records': 786, 'policy_loss': 4.171, 'value_loss': 0.0027, 'ep_len': 41.4, 'fresh_rows': 27821, 'hit_rows': 8274}
{'it': 23, 'wall': 146.3, 'records': 785, 'policy_loss': 4.3726, 'value_loss': 0.0367, 'ep_len': 46.2, 'fresh_rows': 33458, 'hit_rows': 8851}
{'it': 24, 'wall': 153.8, 'records': 803, 'policy_loss': 4.3242, 'value_loss': 0.0114, 'ep_len': 44.6, 'fresh_rows': 29814, 'hit_rows': 7905}
{'it': 25, 'wall': 159.9, 'records': 802, 'policy_loss': 4.2724, 'value_loss': 0.0013, 'ep_len': 42.2, 'fresh_rows': 24863, 'hit_rows': 7023}
{'it': 26, 'wall': 166.2, 'records': 788, 'policy_loss': 4.1971, 'value_loss': 0.0014, 'ep_len': 43.8, 'fresh_rows': 29519, 'hit_rows': 8529}
{'it': 27, 'wall': 172.3, 'records': 779, 'policy_loss': 4.1963, 'value_loss': 0.001, 'ep_len': 45.8, 'fresh_rows': 26961, 'hit_rows': 8690}
{'it': 28, 'wall': 179.1, 'records': 771, 'policy_loss': 4.303, 'value_loss': 0.0568, 'ep_len': 45.4, 'fresh_rows': 31067, 'hit_rows': 9269}
{'it': 29, 'wall': 185.1, 'records': 808, 'policy_loss': 4.2047, 'value_loss': 0.0055, 'ep_len': 50.5, 'fresh_rows': 27030, 'hit_rows': 8695}
{'it': 30, 'wall': 191.8, 'records': 771, 'policy_loss': 4.1679, 'value_loss': 0.0121, 'ep_len': 40.6, 'fresh_rows': 30766, 'hit_rows': 9446}
{'it': 31, 'wall': 197.9, 'records': 831, 'policy_loss': 4.0153, 'value_loss': 0.0029, 'ep_len': 39.6, 'fresh_rows': 27996, 'hit_rows': 8828}
{'it': 32, 'wall': 204.0, 'records': 803, 'policy_loss': 4.0056, 'value_loss': 0.0017, 'ep_len': 40.1, 'fresh_rows': 28058, 'hit_rows': 9013}
{'it': 33, 'wall': 210.5, 'records': 769, 'policy_loss': 3.8611, 'value_loss': 0.0013, 'ep_len': 36.6, 'fresh_rows': 28714, 'hit_rows': 10004}
{'it': 34, 'wall': 216.3, 'records': 786, 'policy_loss': 3.9398, 'value_loss': 0.0016, 'ep_len': 37.4, 'fresh_rows': 25846, 'hit_rows': 9242}
{'it': 35, 'wall': 222.6, 'records': 807, 'policy_loss': 3.8117, 'value_loss': 0.001, 'ep_len': 36.7, 'fresh_rows': 27635, 'hit_rows': 10687}
{'it': 36, 'wall': 229.1, 'records': 776, 'policy_loss': 4.0799, 'value_loss': 0.0007, 'ep_len': 43.1, 'fresh_rows': 28306, 'hit_rows': 10605}
{'it': 37, 'wall': 235.6, 'records': 794, 'policy_loss': 3.9768, 'value_loss': 0.0007, 'ep_len': 44.1, 'fresh_rows': 28732, 'hit_rows': 10049}
{'it': 38, 'wall': 241.5, 'records': 807, 'policy_loss': 3.8694, 'value_loss': 0.0006, 'ep_len': 47.5, 'fresh_rows': 24330, 'hit_rows': 10510}
{'it': 39, 'wall': 248.4, 'records': 783, 'policy_loss': 3.7337, 'value_loss': 0.0007, 'ep_len': 35.6, 'fresh_rows': 27385, 'hit_rows': 10437}
{'it': 40, 'wall': 254.5, 'records': 791, 'policy_loss': 3.7497, 'value_loss': 0.0007, 'ep_len': 34.4, 'fresh_rows': 26244, 'hit_rows': 9641}
{'it': 41, 'wall': 261.0, 'records': 834, 'policy_loss': 3.7874, 'value_loss': 0.0013, 'ep_len': 39.7, 'fresh_rows': 28072, 'hit_rows': 10163}
{'it': 42, 'wall': 267.4, 'records': 802, 'policy_loss': 3.8287, 'value_loss': 0.0011, 'ep_len': 36.5, 'fresh_rows': 28236, 'hit_rows': 9698}
{'it': 43, 'wall': 274.7, 'records': 784, 'policy_loss': 3.6988, 'value_loss': 0.0116, 'ep_len': 34.1, 'fresh_rows': 29208, 'hit_rows': 10541}
{'it': 44, 'wall': 281.1, 'records': 791, 'policy_loss': 3.8568, 'value_loss': 0.0018, 'ep_len': 41.6, 'fresh_rows': 28120, 'hit_rows': 9421}
{'it': 45, 'wall': 287.1, 'records': 777, 'policy_loss': 3.8903, 'value_loss': 0.0014, 'ep_len': 43.2, 'fresh_rows': 26196, 'hit_rows': 9080}
